Word,Arousal,Valence,ValenceCategory,ValenceVsNeutral,Happiness,Anger,Fear,Sadness,Disgust,Surprise,Dominant_Emotion,N_Arousal,N_Valence,N_Primary_Emotion,N_Unknown_Arousal,N_Unknown_Valence,N_Unknown_Primary_Emotion,Concreteness,ConcretenessCategory,Imageability,ImageabilityCategory,SourceImageability,Frequency_Zipf,Prevalence,Length,Nsyl,N_phonemes,PoS,OLD20,AoA,DLP_RT,DLP_Acc,DCP_RT,DCP_Acc
aantal,2.8125,3.111111111,positive,neutral,1.181818182,1,1,1,1,1.181818182,Joint,15,18,11,0,0,0,1.466666667,low,4.33,high,van Loon,4.71121568,3.22645221,6,2,5,N,1.8,6.888888889,473.3807895,0.975609756,1002.08,1
huiswerk,3,2.666666667,negative,neutral,1,1.272727273,1.090909091,1.545454545,1.363636364,1,Sadness,15,18,11,0,0,0,3.466666667,high,5.03,high,van Loon,4.30272045,2.811978674,8,2,7,N,2.45,6.888888889,505.0381081,1,914.96,1
veertig,2.8125,3.055555556,positive,neutral,1,1,1.222222222,1.111111111,1,1,Fear,15,18,9,0,0,0,2.733333333,low,#N/A,#N/A,#N/A,4.250205242,2.761678845,7,2,6,TW,2,6.888888889,552.7414286,0.87804878,1093.83,0.99
toneel,2.6875,3.555555556,positive,neutral,3.436363636,1.254545455,1.254545455,1.254545455,1.254545455,2.4,Happiness,16,18,11,0,0,0,3.4,high,5.5,high,van Loon,4.107413497,2.376604654,6,2,5,N,1.95,6.888888889,467.5569444,1,957.8,0.99
doodschieten,4.411764706,1.105263158,negative,valenced,1,3.5,4,3.5,4.175,2.625,Disgust,16,19,8,0,0,0,4.2,high,#N/A,#N/A,#N/A,3.998712582,1.861915371,12,3,8,WW,2.4,6.888888889,553.9568293,0.975609756,1108.64,0.98
meubels,2.5625,3,neutral,neutral,1.875,1,1,1,1,1.625,Happiness,16,19,8,0,0,0,4.6,high,#N/A,#N/A,#N/A,3.905768905,3.005509174,7,2,6,N,1.9,6.888888889,504.7951429,1,977.42,0.99
uitspreken,3.125,3.263157895,positive,neutral,1.625,1.625,1.25,1.125,1.125,1.25,Joint,15,19,8,0,0,0,2.866666667,low,#N/A,#N/A,#N/A,3.895787068,2.780319068,10,3,8,WW,1.95,6.888888889,544.55775,1,1043.85,1
biefstuk,3.214285714,3.315789474,positive,neutral,1.583333333,1.083333333,1,1,1.583333333,1,Joint,17,19,12,0,0,0,4.6,high,6.33,high,van Loon,3.867084291,2.659887903,8,2,7,N,2.75,6.888888889,552.0321622,0.926829268,992.53,1
evenveel,2.75,3.052631579,positive,neutral,2.222222222,1.222222222,1.444444444,1.333333333,1.333333333,1.444444444,Happiness,14,19,9,0,0,0,2.466666667,low,#N/A,#N/A,#N/A,3.836349438,2.201685769,8,3,7,TW,2.65,6.888888889,503.4827027,0.975,1131.05,0.98
voorin,2.875,3.105263158,positive,neutral,1.5,1,1,1,1,1.083333333,Happiness,14,19,12,0,0,0,2.333333333,low,#N/A,#N/A,#N/A,3.804827486,2.240994581,6,2,5,Function,1.9,6.888888889,565.8861765,0.829268293,1096.72,0.99
kauwgom,2.5625,3.333333333,positive,neutral,1.454545455,1,1,1,1,1.090909091,Happiness,14,18,11,0,0,0,4.666666667,high,6.13,high,van Loon,3.767467555,2.411661668,7,2,6,N,3.15,6.888888889,506.1435135,0.975,1026.08,0.99
grootouders,2.285714286,3.95,positive,valenced,3.155555556,1.222222222,1.222222222,1.777777778,1,1.111111111,Happiness,15,20,9,0,0,1,3.6,high,5.67,high,van Loon,3.614496468,2.854962574,11,3,9,N,3.5,6.888888889,543.8738462,0.975609756,984.12,1
uitstapje,3.375,4.157894737,positive,valenced,3.290909091,1,1.090909091,1,1,1.545454545,Happiness,16,19,11,0,0,0,2.533333333,low,#N/A,#N/A,#N/A,3.499109472,2.88699792,9,3,8,N,2.4,6.888888889,530.6075676,0.975,1085.85,1
picknicken,2.375,4.055555556,positive,valenced,4.171428571,1,1,1,1,1.428571429,Happiness,14,18,7,0,0,0,4.266666667,high,#N/A,#N/A,#N/A,3.392644202,2.255749726,10,3,7,WW,3.1,6.888888889,536.25025,1,1109.56,0.99
familienaam,2.8,3,neutral,neutral,1.98,1,1,1,1,1,Happiness,16,19,10,0,0,1,2.333333333,low,#N/A,#N/A,#N/A,3.332357653,2.80289876,11,4,9,N,3.25,6.888888889,551.4764103,0.975609756,1067.22,1
meegeven,3.411764706,3.210526316,positive,neutral,1.636363636,1,1,1.181818182,1,1.181818182,Happiness,17,19,11,0,0,0,3.333333333,high,4.4,high,van Loon,3.185287113,2.287696446,8,3,6,WW,1.85,6.888888889,492.7245,0.975609756,1078.39,0.99
potverdorie,3.375,2,negative,neutral,1.444444444,4,1.666666667,1.666666667,1.555555556,1.888888889,Anger,16,19,9,0,0,1,1.533333333,low,#N/A,#N/A,#N/A,3.165392727,2.360807237,11,4,10,Function,3.35,6.888888889,601.23525,1,1138.31,0.99
dierenwinkel,2.941176471,3.157894737,positive,neutral,1.909090909,1.545454545,1.090909091,1.545454545,1.272727273,1.090909091,Happiness,16,19,11,0,0,0,4.133333333,high,#N/A,#N/A,#N/A,3.151614972,2.748727314,12,4,10,N,3.35,6.888888889,548.20875,1,1012.74,1
rolschaatsen,3.4375,3.388888889,positive,neutral,2.625,1,1.375,1,1,1.25,Happiness,17,18,8,0,0,0,4.4,high,#N/A,#N/A,#N/A,3.107413497,2.489081144,12,3,9,N,2.85,6.888888889,537.7505128,0.951219512,1034.11,1
wasbak,2.733333333,2.894736842,negative,neutral,1.272727273,1,1,1,1.090909091,1,Happiness,17,19,11,0,0,0,4.666666667,high,#N/A,#N/A,#N/A,3.075218379,2.434656679,6,2,6,N,1.8,6.888888889,551.4426316,0.95,985.05,1
stripboek,2.428571429,3.35,positive,neutral,2.890909091,1.272727273,1.272727273,1.272727273,1.181818182,1.363636364,Happiness,16,20,11,0,0,0,4.733333333,high,6.6,high,van Loon,2.950267468,2.189228801,9,2,7,N,2.9,6.888888889,590.695641,0.975,1037.71,0.99
slaper,1.571428571,2.9,negative,neutral,1.5,1.1,1.2,1.3,1.2,1.2,Happiness,17,20,10,0,0,0,4.071428571,high,#N/A,#N/A,#N/A,2.90330708,2.635219474,6,2,6,N,1.7,6.888888889,526.3938889,0.87804878,1009.98,0.99
gebrul,4.333333333,2,negative,neutral,1.090909091,4.272727273,2.818181818,1.454545455,1.636363636,1.545454545,Anger,14,19,11,0,0,0,4.133333333,high,#N/A,#N/A,#N/A,2.774224905,2.496048846,6,2,6,N,1.9,6.888888889,537.4464865,0.975,1077.57,0.99
zeehond,2.642857143,3.4,positive,neutral,2.675,1,1,1,1,1.125,Happiness,12,20,8,0,0,0,5,high,6.36,high,van Loon,2.757168192,2.790176593,7,2,6,N,2.3,6.888888889,501.84075,1,983.92,1
zwemster,3.466666667,3.210526316,positive,neutral,2,1.111111111,1.222222222,1.111111111,1.111111111,1.222222222,Happiness,16,19,9,0,0,0,4.266666667,high,#N/A,#N/A,#N/A,2.757168192,2.748430109,8,2,8,N,2.2,6.888888889,546.6937838,0.975609756,1039.96,1
balletles,3.125,3,neutral,neutral,1.825,1,1,1.125,1,1.425,Happiness,17,19,8,0,0,0,4.066666667,high,#N/A,#N/A,#N/A,2.701654317,2.609862089,9,3,8,N,2.35,6.888888889,620.7661765,0.87804878,1206.87,0.99
donderslag,3.823529412,2.315789474,negative,neutral,1.090909091,1.272727273,2.272727273,1.363636364,1.090909091,2.181818182,Fear,16,19,11,0,0,0,4.133333333,high,#N/A,#N/A,#N/A,2.66029616,2.369501542,10,3,10,N,2.65,6.888888889,554.715,0.975609756,1072.3,0.99
lichtbruin,2.6875,3,neutral,neutral,1.2,1.3,1.2,1.3,2,1.3,Disgust,16,19,10,0,0,0,3.6,high,#N/A,#N/A,#N/A,2.637989781,3.225765452,10,2,8,ADJ,2.7,6.888888889,547.8332432,0.975,1000.94,0.99
ritssluiting,2.625,3.052631579,positive,neutral,1,1.125,1,1,1,1.425,Surprise,16,19,8,0,0,0,4.733333333,high,6.7,high,van Loon,2.359266165,2.609016562,12,3,9,N,3.5,6.888888889,638.6191667,0.87804878,1234.08,1
smeerkaas,2.529411765,3.105263158,positive,neutral,1.527272727,1.072727273,1.072727273,1.072727273,1.072727273,1.072727273,Happiness,17,19,11,0,0,0,4.642857143,high,6.5,high,van Loon,2.262213705,3.198938639,9,2,7,N,2.7,6.888888889,529.9364103,1,997.7,1
voetbalploeg,3.214285714,3.5,positive,neutral,1.333333333,1,1,1,1.111111111,1,Happiness,17,20,9,0,0,0,4.266666667,high,#N/A,#N/A,#N/A,2.204391332,2.810275161,12,3,10,N,3.7,6.888888889,566.5805128,1,1080.26,1
geknor,3.428571429,2.4,negative,neutral,1.9,1.6,1.2,1.4,1.4,1.5,Happiness,14,20,10,0,0,0,3.8,high,#N/A,#N/A,#N/A,1.961421094,2.050432099,6,2,6,N,1.8,6.888888889,613.0734375,0.825,1219.6,0.98
kruimelen,2.9375,2.777777778,negative,neutral,1.375,1,1,1.375,1,1.25,Joint,15,18,8,0,0,0,4.133333333,high,#N/A,#N/A,#N/A,1.6599162,2.1740211,9,3,7,WW,1.9,6.888888889,551.9827778,0.9,986.91,1
wasknijper,2.857142857,3,neutral,neutral,1,1.125,1,1,1,1,Anger,14,20,8,0,0,0,4.933333333,high,6.73,high,van Loon,1.359835482,2.637905244,10,3,9,N,3.5,6.888888889,598.4756757,0.925,1034.64,1
kamp,3.294117647,3.210526316,positive,neutral,3.272727273,1.181818182,1.272727273,1,1.090909091,2.090909091,Happiness,14,19,11,0,0,0,4.466666667,high,6.13,high,van Loon,4.620488971,2.739562852,4,1,4,N,1.35,6.893396226,490.9822857,0.87804878,1034.23,1
veulen,2.625,3.444444444,positive,neutral,2.9,1,1,1.1,1,1.5,Happiness,15,18,10,0,0,0,4.533333333,high,6.47,high,van Loon,3.075218379,2.037572098,6,2,4,N,1.45,6.89375,625.4817647,0.9,1034.79,0.98
plaatsen,2.857142857,3.1,positive,neutral,1.111111111,1,1,1,1,1,Happiness,14,20,9,0,0,0,2.8,low,4.17,high,van Loon,4.658951509,3.065662735,8,2,6,WW,1.9,6.894736842,498.0681818,1,1023.11,1
zonsopgang,1.75,4,positive,valenced,3.636363636,1.090909091,1,1,1,1.818181818,Happiness,17,18,11,0,0,0,4.466666667,high,#N/A,#N/A,#N/A,4.086769014,2.645403364,10,3,9,N,4.25,6.894736842,569.6671795,0.975,1168.7,0.99
binnenzak,2.764705882,3,neutral,neutral,1,1,1,1,1,1,Joint,16,19,10,0,0,0,4.2,high,#N/A,#N/A,#N/A,2.774224905,3.197056004,9,3,7,N,2.5,6.894736842,528.2624324,0.95,1082.95,1
maïs,2.533333333,3.157894737,positive,neutral,1.45,1,1,1,1.25,1,Happiness,15,19,8,0,0,0,4.666666667,high,#N/A,#N/A,#N/A,1,2.75897823,4,1,4,N,2.75,6.895178197,537.3369231,1,999.1,0.99
recht,2.785714286,3.157894737,positive,neutral,1.666666667,1.222222222,1.111111111,1.222222222,1.222222222,1.222222222,Happiness,15,19,9,0,0,0,3.466666667,high,2.63,low,van Loon,5.202396762,2.85382122,5,1,4,N,1.6,6.9,482.7916216,1,944.39,1
rot,3.125,1.842105263,negative,neutral,1.2,2.125,1.25,2.375,3.375,1.25,Disgust,17,19,8,0,0,0,4,high,5.4,high,de Deyne et al. 2019,4.940265398,3.006319241,3,1,3,ADJ,1,6.9,508.462973,0.975,930.28,1
hel,4.142857143,1.631578947,negative,neutral,1,3.345454545,3.545454545,2.509090909,1.909090909,1.363636364,Fear,16,19,11,0,0,0,2.2,low,4.7,high,van Loon,4.92448346,2.83638154,3,1,3,N,1,6.9,490.3864865,1,940.45,1
vijand,4.0625,1.444444444,negative,neutral,1,4.333333333,3,2,3,1,Anger,14,18,9,0,0,1,2.733333333,low,2.6,low,van Loon,4.783127156,2.533406229,6,2,6,N,2.1,6.9,489.0418919,0.95,1015.94,0.99
doof,2.6875,1.684210526,negative,neutral,1,1.375,2.375,2.571428571,1.375,1.375,Sadness,16,19,8,0,0,0,2.933333333,low,5.75,high,de Deyne et al. 2019,4.269316767,2.810775197,4,1,3,ADJ,1.2,6.9,509.7575,1,1004.47,0.99
toestel,2.75,2.947368421,negative,neutral,1.636363636,1.090909091,1.181818182,1,1,1.090909091,Happiness,17,19,11,0,0,0,3.066666667,high,4.6,high,van Loon,4.212925012,2.889146864,7,2,6,N,1.85,6.9,515.2771053,0.975609756,942.51,1
heuvel,3,2.894736842,negative,neutral,2.4,1.1,1.2,1.1,1.2,1.2,Happiness,14,19,10,0,0,0,4.666666667,high,6.2,high,van Loon,4.196181714,2.729358179,6,2,5,N,1.7,6.9,484.4632432,0.975,958.86,1
vreugde,3.529411765,4.684210526,positive,valenced,4.6,1,1,1,1,2,Happiness,16,19,10,0,0,0,2.6,low,3.97,low,van Loon,4.132282108,3.185179628,7,2,6,N,1.9,6.9,493.7136842,0.975609756,940.35,1
ploeg,3.0625,3.157894737,positive,neutral,1.763636364,1.072727273,1.072727273,1.072727273,1.072727273,1.072727273,Happiness,17,19,11,0,0,0,3.666666667,high,4.787878788,high,de Deyne et al. 2008,3.991682288,2.647017051,5,1,4,N,1.85,6.9,484.3142105,1,964.45,1
parkeerplaats,2.352941176,3.210526316,positive,neutral,1.25,1.125,1.25,1.142857143,1.25,1.25,Joint,12,19,8,0,0,0,4.466666667,high,6.5,high,van Loon,3.990671775,2.40446163,13,3,11,N,3.85,6.9,532.4302439,1,1019.25,0.99
zinnen,2.75,3.111111111,positive,neutral,1.166666667,1.166666667,1.083333333,1,1,1.166666667,Joint,14,18,12,0,0,0,3,high,2.73,low,van Loon,3.93556772,2.390936991,6,2,4,WW,1.1,6.9,528.91,0.926829268,1019.99,0.99
werpen,3.75,3,neutral,neutral,1.125,1.75,1.375,1.285714286,1.375,1.25,Anger,16,19,8,0,0,0,3.6,high,6.67,high,van Loon,3.89325118,2.625775686,6,2,5,WW,1.45,6.9,529.6444444,0.95,978.64,1
zenden,3.125,3.263157895,positive,neutral,1.4,1.072727273,1.072727273,1.072727273,1.163636364,1.218181818,Happiness,14,19,11,0,0,0,2.8,low,5.1,high,van Loon,3.793797367,2.741683932,6,2,5,WW,1,6.9,506.8764865,0.902439024,974.5,1
binnenkant,2.5625,3,neutral,neutral,1.125,1,1.125,1.125,1,1.25,Surprise,17,19,8,0,0,0,3,high,#N/A,#N/A,#N/A,3.774202992,2.68814099,10,3,8,N,2.5,6.9,529.8907692,1,1028.81,1
verwend,2.3125,2.578947368,negative,neutral,1.75,2,1.25,1.285714286,1.875,1.625,Anger,14,19,8,0,0,0,2,low,#N/A,#N/A,#N/A,3.774202992,2.522553673,7,2,7,ADJ,1.25,6.9,514.7945946,1,1111.78,0.99
herder,2.647058824,3,neutral,neutral,1.555555556,1,1,1,1,1.111111111,Happiness,17,19,9,0,0,1,3.8,high,5.97,high,van Loon,3.772527068,3.159388519,6,2,6,N,1.75,6.9,528.2823684,0.951219512,1037.09,0.99
verzameling,3,3.157894737,positive,neutral,1.75,1.125,1.125,1.142857143,1.125,1.25,Happiness,16,19,8,0,0,0,2.4,low,4.93,high,van Loon,3.746618633,2.603538297,11,4,10,N,2.65,6.9,510.0305263,1,1042.82,1
pit,3.25,3.666666667,positive,valenced,1.25,1.375,1,1,1.25,1.675,Surprise,16,18,8,0,0,0,4.4,high,6.1,high,van Loon,3.743039155,2.551459436,3,1,3,N,1,6.9,552.3810811,0.951219512,995.34,0.99
onderaan,2.866666667,2.631578947,negative,neutral,1,1,1,1.5,1.1,1,Sadness,16,19,10,0,0,0,3.066666667,high,#N/A,#N/A,#N/A,3.728443067,2.519514223,8,3,7,Function,1.9,6.9,519.9415385,0.951219512,1114.68,1
griezel,3.571428571,1.4,negative,neutral,1,1.333333333,3.688888889,1.333333333,2.377777778,1.555555556,Fear,16,20,9,0,0,1,2.6,low,4.93,high,van Loon,3.709473489,2.925864092,7,2,6,N,1.85,6.9,561.9655,1,1017.25,1
vrucht,2.5,3.315789474,positive,neutral,2.111111111,1.111111111,1.111111111,1.111111111,1.222222222,1.111111111,Happiness,15,19,9,0,0,0,4,high,6.16,high,van Loon,3.511509038,2.521169158,6,1,5,N,1.85,6.9,488.6672222,1,964.89,1
verrekijker,2.470588235,3.157894737,positive,neutral,1.333333333,1,1,1,1,1.711111111,Surprise,15,19,9,0,0,1,5,high,6.8,high,van Loon,3.442009159,2.97259047,11,4,9,N,3,6.9,525.4126316,0.975,1095.4,1
